,City,State,Region,Size,Population,AvgRent,MedianRent,UnempRate,AvgIncome,CostOfLiving,PriceParity,CommuteTime,MedianAQI,WalkScore,BikeScore,TransitScore,Latitude,Longitude
70,North Port,Florida,South,Mid-Sized,833716.0,2174,1378.0,2.2,69376.0,,99.31,25.9,43.0,,,3.0,27.0576,-82.1977
71,Columbia,South Carolina,South,Mid-Sized,829470.0,1393,1077.0,2.8,53286.0,91.9,93.32,24.3,42.0,,,1.7,34.0378,-80.9036
72,Dayton,Ohio,Midwest,Mid-Sized,814049.0,1047,809.0,3.5,55572.0,88.4,92.54,21.8,44.0,,,3.1,39.7805,-84.2003
73,Charleston,South Carolina,South,Mid-Sized,799636.0,2166,1484.0,2.5,60754.0,101.7,99.15,25.9,40.0,,,1.5,32.8168,-79.9687
74,Stockton,California,West,Mid-Sized,779233.0,1915,1257.0,5.2,57783.0,113.6,104.61,33.3,43.0,43.7,52.4,3.0,37.9765,-121.3109
75,Greensboro,North Carolina,South,Mid-Sized,776566.0,1421,981.0,3.6,51872.0,91.0,92.82,22.1,43.0,29.4,32.2,1.8,36.0956,-79.8271
76,Cape Coral,Florida,South,Mid-Sized,760822.0,2356,1240.0,2.9,62885.0,,99.97,27.1,41.0,,,2.3,26.6443,-81.9957
77,Colorado Springs,Colorado,West,Mid-Sized,755105.0,1784,1270.0,3.0,58736.0,102.2,96.84,22.8,48.0,36.1,44.7,2.3,38.8674,-104.7605
78,Little Rock,Arkansas,South,Mid-Sized,748031.0,1108,859.0,2.8,53158.0,88.0,91.97,22.5,43.0,,,1.3,34.7256,-92.3577
79,Lakeland,Florida,South,Mid-Sized,725046.0,1674,1010.0,2.7,43556.0,96.4,96.17,25.7,41.0,,,1.6,28.0557,-81.9545
80,Des Moines,Iowa,Midwest,Mid-Sized,709466.0,1091,949.0,2.8,61833.0,91.7,93.32,20.0,39.0,45.0,39.4,2.6,41.5725,-93.6105
81,Akron,Ohio,Midwest,Mid-Sized,702219.0,977,867.0,3.9,58735.0,89.4,93.73,22.9,43.0,,,3.0,41.0798,-81.5219
82,Springfield,Massachusetts,Northeast,Mid-Sized,699162.0,1488,1059.0,3.7,61523.0,106.5,97.79,22.9,41.0,,,4.0,42.1155,-72.5395
83,Ogden,Utah,West,Mid-Sized,694863.0,1313,1107.0,2.0,52305.0,99.8,93.64,22.7,49.0,,,4.7,41.2279,-111.9682
84,Madison,Wisconsin,Midwest,Mid-Sized,680796.0,1445,1265.0,1.6,69116.0,99.5,96.73,21.4,39.0,49.7,65.5,3.0,43.0822,-89.393
85,Provo,Utah,West,Mid-Sized,671185.0,1376,1070.0,1.9,50616.0,100.9,95.84,21.2,47.0,,,3.6,40.2457,-111.6457
86,Deltona,Florida,South,Mid-Sized,668921.0,1863,1141.0,2.5,53559.0,,97.84,26.6,43.0,,,2.4,28.905,-81.2137
87,Syracuse,New York,Northeast,Mid-Sized,662057.0,1350,953.0,3.0,58137.0,95.1,96.49,21.3,37.0,,,2.5,43.0407,-76.1437
88,Durham,North Carolina,South,Mid-Sized,649903.0,1617,1224.0,2.6,63375.0,99.8,95.99,24.6,41.0,30.3,37.6,3.2,35.9792,-78.9022
89,Wichita,Kansas,Midwest,Mid-Sized,647610.0,956,747.0,2.9,56343.0,86.8,90.85,20.2,45.0,34.8,43.9,1.7,37.6895,-97.3443
90,Toledo,Ohio,Midwest,Mid-Sized,646604.0,1056,739.0,3.9,54423.0,87.5,90.52,21.1,42.0,46.4,45.6,2.2,41.6638,-83.5827
91,Augusta,Georgia,South,Mid-Sized,611000.0,1280,958.0,3.2,49432.0,91.6,91.96,24.0,42.0,,,0.7,33.3645,-82.0708
92,Palm Bay,Florida,South,Mid-Sized,606612.0,1874,1233.0,2.2,55477.0,,98.96,24.9,42.0,,,1.9,27.9631,-80.6593
93,Jackson,Mississippi,South,Mid-Sized,591978.0,1158,983.0,3.0,51982.0,87.8,88.98,25.1,43.0,,,0.8,32.3157,-90.2125
94,Harrisburg,Pennsylvania,Northeast,Mid-Sized,591712.0,1217,1049.0,2.8,60517.0,95.8,97.53,22.8,38.0,,,1.7,40.2752,-76.8843
95,Spokane,Washington,West,Mid-Sized,585784.0,1434,980.0,5.5,53278.0,100.4,98.71,22.6,40.0,49.2,52.1,3.8,47.6671,-117.433
96,Scranton,Pennsylvania,Northeast,Mid-Sized,567559.0,1204,868.0,4.3,53256.0,91.3,93.37,22.3,36.0,,,2.6,41.4044,-75.6649
97,Chattanooga,Tennessee,South,Mid-Sized,562647.0,1512,1001.0,2.9,53906.0,91.2,90.23,24.4,46.0,,,1.2,35.066,-85.2481
98,Lancaster,Pennsylvania,Northeast,Mid-Sized,552984.0,1327,1105.0,2.5,61547.0,99.5,97.13,24.0,48.0,,,2.4,40.042,-76.3012
99,Modesto,California,West,Mid-Sized,552878.0,1867,1144.0,5.3,52356.0,112.3,102.98,28.8,48.0,,,3.6,37.6375,-121.0028
100,Portland,Maine,Northeast,Mid-Sized,551740.0,2131,1563.0,,68555.0,113.0,101.74,25.4,38.0,,,1.7,43.6773,-70.2715
101,Fayetteville,Arkansas,South,Mid-Sized,546725.0,1537,824.0,2.0,70594.0,90.4,93.3,20.6,38.0,,,1.4,36.0714,-94.1661
102,Lansing,Michigan,Midwest,Mid-Sized,541297.0,1065,925.0,3.6,50326.0,88.7,94.08,21.1,41.0,,,2.9,42.7142,-84.5601
103,Youngstown,Ohio,Midwest,Mid-Sized,541243.0,879,675.0,4.5,48904.0,86.4,87.41,21.8,43.0,,,1.3,41.0993,-80.6463
104,Fayetteville,North Carolina,South,Mid-Sized,520378.0,1339,959.0,4.8,45542.0,89.5,91.68,22.6,41.0,21.4,29.7,1.8,35.085,-78.9772
105,Lexington,Kentucky,South,Mid-Sized,516811.0,1369,909.0,2.6,57519.0,91.1,92.0,21.5,42.0,,,2.5,38.0423,-84.4587
106,Pensacola,Florida,South,Mid-Sized,509905.0,1538,1077.0,2.3,52548.0,97.9,95.82,24.5,45.0,,,1.6,30.4413,-87.1911
107,Huntsville,Alabama,South,Mid-Sized,491723.0,1456,941.0,1.8,57815.0,91.3,91.51,,43.0,,,0.8,34.6981,-86.6412
108,Reno,Nevada,West,Mid-Sized,490596.0,1912,1365.0,3.4,71489.0,107.4,97.42,21.3,47.0,40.2,52.0,3.2,39.5497,-119.8483
109,Santa Rosa,California,West,Mid-Sized,488863.0,2440,1848.0,2.5,81006.0,141.7,109.81,25.1,32.0,,,3.4,38.4458,-122.7067
110,Myrtle Beach,South Carolina,South,Mid-Sized,487722.0,1837,1052.0,4.1,49234.0,94.7,94.79,21.8,39.0,,,0.5,33.7094,-78.8844
111,Lafayette,Louisiana,South,Mid-Sized,478384.0,1203,930.0,3.1,52241.0,89.6,90.73,24.6,41.0,,,1.0,30.2082,-92.0325
112,Springfield,Missouri,Midwest,Mid-Sized,475432.0,1225,717.0,1.9,48664.0,86.7,89.11,22.3,43.0,,,1.7,37.1943,-93.2916
