,City,State,Region,Size,Population,AvgRent,MedianRent,UnempRate,AvgIncome,CostOfLiving,PriceParity,CommuteTime,MedianAQI,WalkScore,BikeScore,TransitScore,Latitude,Longitude
113,Killeen,Texas,South,Mid-Sized,475367.0,1271,804.0,4.0,47755.0,88.6,93.56,20.2,44.0,,,1.6,31.0753,-97.7297
114,Visalia,California,West,Mid-Sized,473117.0,1748,907.0,8.2,47986.0,103.6,98.98,22.4,67.0,,,4.1,36.3276,-119.3269
115,Asheville,North Carolina,South,Mid-Sized,469015.0,1811,1361.0,2.5,54827.0,103.3,94.7,21.6,43.0,,,1.1,35.5707,-82.5537
116,York,Pennsylvania,Northeast,Mid-Sized,456438.0,1191,938.0,2.8,57870.0,95.8,96.85,27.2,40.0,,,1.5,39.9651,-76.7315
117,Vallejo,California,West,Mid-Sized,453491.0,2117,1776.0,3.8,65448.0,125.2,109.38,32.5,40.0,,,3.9,38.1125,-122.2342
118,Santa Maria,California,West,Mid-Sized,448229.0,2733,2490.0,3.1,73995.0,143.0,111.81,19.6,43.0,,,4.3,34.9333,-120.4431
119,Salinas,California,West,Mid-Sized,439035.0,2118,2324.0,6.9,63449.0,138.3,109.27,23.0,39.0,,,4.2,36.6883,-121.6317
120,Salem,Oregon,West,Mid-Sized,433353.0,1680,1040.0,4.5,52971.0,105.8,101.84,24.9,30.0,,,4.2,44.9233,-123.0244
121,Mobile,Alabama,South,Mid-Sized,430197.0,1093,846.0,3.0,46402.0,88.3,87.8,24.8,42.0,,,1.7,30.6782,-88.1162
122,Reading,Pennsylvania,Northeast,Mid-Sized,428849.0,1173,975.0,3.4,57970.0,96.0,96.32,25.4,38.0,,,2.4,40.34,-75.9267
123,Manchester,New Hampshire,Northeast,Mid-Sized,422937.0,1718,1354.0,,71849.0,109.6,102.16,26.9,41.0,,,1.7,42.9848,-71.4447
124,Corpus Christi,Texas,South,Mid-Sized,421933.0,1375,1104.0,4.5,52612.0,93.3,94.81,19.6,45.0,40.3,42.1,3.4,27.7254,-97.3767
125,Brownsville,Texas,South,Mid-Sized,421017.0,1330,745.0,5.7,37861.0,87.8,88.36,20.8,47.0,,,2.0,25.9975,-97.458
126,Fort Wayne,Indiana,Midwest,Mid-Sized,419601.0,1078,790.0,2.2,54623.0,86.8,92.14,21.8,41.0,31.7,41.0,1.8,41.0888,-85.1436
127,Salisbury,Maryland,Northeast,Mid-Sized,418046.0,1444,925.0,4.7,55698.0,103.2,93.96,24.2,37.0,,,1.3,38.3756,-75.5865
128,Gulfport,Mississippi,South,Mid-Sized,416259.0,1212,826.0,3.4,44488.0,86.8,89.21,23.0,42.0,,,1.0,30.4274,-89.0704
129,Flint,Michigan,Midwest,Mid-Sized,406211.0,781,783.0,5.4,49399.0,85.7,89.16,26.5,40.0,,,1.9,43.0236,-83.6921
130,Savannah,Georgia,South,Mid-Sized,404798.0,1744,1204.0,2.5,53570.0,97.3,95.42,24.3,39.0,,,2.5,32.0286,-81.1821
