City,State,MedianAQI
Hot Springs,AR,33
Nogales,AZ,32
Jasper,IN,32
Santa Rosa,CA,32
Eagle Pass,TX,32
Mayaguez,PR,32
El Dorado,AR,32
Bellingham,WA,32
Erie,PA,31
Muscatine,IA,31
Lewiston,ME,31
Iowa City,IA,31
Odessa,TX,31
College Station,TX,31
Hermiston,OR,31
Mount Vernon,WA,31
Hammond,LA,31
Augusta,ME,31
Lewiston,ID,30
Jackson,TN,30
Athens,TN,30
Salem,OR,30
Alexandria,LA,30
Urban Honolulu,HI,29
Yakima,WA,29
Rome,GA,29
Fort Madison,IA,29
New Castle,IN,29
Platteville,WI,28
Sioux City,IA,28
Bemidji,MN,28
Douglas,GA,28
Fairmont,WV,28
Clarksburg,WV,28
Monroe,MI,27
Dyersburg,TN,27
Hilo,HI,26
Cookeville,TN,25
San Juan,PR,24
Anchorage,AK,23
Eureka,CA,23
Bozeman,MT,23
Crescent City,CA,23
Lynchburg,VA,23
Athens,OH,23
Deming,NM,22
Pahrump,NV,22
Lubbock,TX,22
Olympia,WA,22
Grand Island,NE,21
Billings,MT,21
Albany,OR,20
Grants Pass,OR,20
Beatrice,NE,20
Pueblo,CO,19
Butte,MT,19
Ponce,PR,19
Sandpoint,ID,19
Bremerton,WA,19
Bay City,MI,19
Klamath Falls,OR,19
Roanoke Rapids,NC,19
Lawrenceburg,TN,19
Taos,NM,19
Lake Havasu City,AZ,18
Dodge City,KS,18
Palatka,FL,18
Aberdeen,SD,18
Utica,NY,18
Wenatchee,WA,18
Kahului,HI,18
Twin Falls,ID,18
Mason City,IA,17
Moses Lake,WA,17
Hailey,ID,17
Steamboat Springs,CO,16
Salem,OH,16
La Grande,OR,16
Clearlake,CA,16
Centralia,WA,16
Shelton,WA,16
Corvallis,OR,16
Elko,NV,15
Guayama,PR,15
Great Falls,MT,15
Ellensburg,WA,15
Portsmouth,OH,14
Juneau,AK,14
Aberdeen,WA,14
Scottsbluff,NE,13
Longview,WA,13
Bend,OR,13
Gardnerville Ranchos,NV,13
Ca¤on City,CO,12
Pullman,WA,12
Prineville,OR,12
The Dalles,OR,12
Othello,WA,11
Coeur d'Alene,ID,10
Kapaa,HI,10
Evanston,WY,6
Pierre,SD,3
Danville,VA,3
Moscow,ID,0
