City,State,Population
Pittsfield,MA,129026
Albany,OR,128610
Jamestown,NY,127657
Glens Falls,NY,127039
Lawton,OK,126652
Cleveland,TN,126164
Sierra Vista,AZ,125447
Staunton,VA,125433
Ames,IA,125252
San Germán,PR,125100
Mansfield,OH,124936
Augusta,ME,123642
San Angelo,TX,122888
Altoona,PA,122822
New Bern,NC,122168
Wenatchee,WA,122012
Farmington,NM,121661
Owensboro,KY,121559
St. Joseph,MO,121467
Holland,MI,120502
Bozeman,MT,118960
Lawrence,KS,118785
Sheboygan,WI,118034
Missoula,MT,117922
Goldsboro,NC,117333
Weirton,WV,116903
Wooster,OH,116894
Watertown,NY,116721
Lumberton,NC,116530
Anniston,AL,116441
Beckley,WV,115079
Twin Falls,ID,114283
Williamsport,PA,114188
Cookeville,TN,113982
California,MD,113777
Brunswick,GA,113495
Michigan City,IN,112417
Muncie,IN,111903
Roseburg,OR,111201
Lewiston,ME,111139
Longview,WA,110730
Ogdensburg,NY,108505
Kankakee,IL,107502
Tullahoma,TN,107124
Richmond,KY,106864
Show Low,AZ,106717
Whitewater,WI,106478
Bluefield,WV,106363
Ithaca,NY,105740
Grand Forks,ND,104362
Kalispell,MT,104357
LaGrange,GA,104198
Fond du Lac,WI,104154
Decatur,IL,103998
Bay City,MI,103856
Gettysburg,PA,103852
Mankato,MN,103566
Gadsden,AL,103436
Danville,VA,103091
Truckee,CA,102241
Lima,OH,102206
Salem,OH,101877
Sebring,FL,101235
Cheyenne,WY,100512
Hot Springs,AR,100180
Pinehurst,NC,99727
Shelby,NC,99519
Adrian,MI,99423
Dubuque,IA,99266
Moses Lake,WA,99123
Paducah,KY,98660
Rome,GA,98584
Sevierville,TN,98380
Victoria,TX,98331
Albertville,AL,97612
Mayagüez,PR,97605
Meridian,MS,97587
Ashtabula,OH,97574
Cape Girardeau,MO,97517
Brainerd,MN,96189
Fairbanks,AK,95655
Ocean City,NJ,95263
Corvallis,OR,95184
Cumberland,MD,95044
Pocatello,ID,94896
Corning,NY,93584
New Philadelphia,OH,93263
Hermiston,OR,92261
Sunbury,PA,91647
Ukiah,CA,91601
Clarksburg,WV,90434
Parkersburg,WV,89490
Beaver Dam,WI,89396
Grants Pass,OR,88090
Cullman,AL,87866
Pine Bluff,AR,87751
Oak Harbor,WA,86857
Zanesville,OH,86410
Lufkin,TX,86395
Yauco,PR,86142
New Castle,PA,86070
Watertown,WI,84900
Great Falls,MT,84414
Orangeburg,SC,84223
Elmira,NY,84148
Meadville,PA,83938
Kokomo,IN,83658
Russellville,AR,83644
Laurel,MS,83613
Midland,MI,83494
Indiana,PA,83246
Helena,MT,83058
Key FL,82874
Bloomsburg,PA,82863
Opelousas,LA,82540
Columbus,IN,82208
Athens,TX,82150
Centralia,WA,82149
Talladega,AL,82149
Stillwater,OK,81646
Hinesville,GA,81424
Manitowoc,WI,81359
Statesboro,GA,81099
DuBois,PA,80562
Warsaw,IN,80240
Casper,WY,79955
Plattsburgh,NY,79843
Glenwood Springs,CO,79043
Wilson,NC,78784
Seneca,SC,78607
Minot,ND,77546
Port Angeles,WA,77155
Heber,UT,77145
Chillicothe,OH,77093
Olean,NY,77042
Grand Island,NE,77038
Searcy,AR,76822
Keene,NH,76458
Huntsville,TX,76400
Auburn,NY,76248
Jefferson,GA,75907
Quincy,IL,75769
Aberdeen,WA,75636
Sandusky,OH,75622
Frankfort,KY,75393
Findlay,OH,74920
Hobbs,NM,74455
Wisconsin Rapids,WI,74207
Danville,IL,74188
Somerset,PA,74129
Portsmouth,OH,74008
Palatka,FL,73321
Kapaa,HI,73298
Gallup,NM,72902
Shawnee,OK,72454
Fort Payne,AL,71608
Mount Airy,NC,71359
Stevens Point,WI,70377
Greeneville,TN,70152
Lake City,FL,69698
Klamath Falls,OR,69413
Greenwood,SC,69351
Guayama,PR,68442
Clearlake,CA,68163
Alamogordo,NM,67839
Morehead City,NC,67686
Faribault,MN,67097
Farmington,MO,66922
Marion,IN,66674
Richmond,IN,66553
Muskogee,OK,66339
Rexburg,ID,66301
Roanoke Rapids,NC,66093
Marquette,MI,66017
North Wilkesboro,NC,65969
Rio Grande City,TX,65920
Red Bluff,CA,65829
Baraboo,WI,65763
Shelton,WA,65726
Marinette,WI,65374
Marion,OH,65359
Jasper,AL,65342
Dublin,GA,65165
Roswell,NM,65157
Somerset,KY,65034
Coos Bay,OR,64929
Nacogdoches,TX,64653
Forest City,NC,64444
Martinsville,VA,64433
Mount Pleasant,MI,64394
Lewiston,ID,64375
Laconia,NH,63705
Georgetown,SC,63404
Sanford,NC,63285
Enid,OK,62846
Mount Vernon,OH,62721
Walla Walla,WA,62584
Albemarle,NC,62504
Athens,OH,62431
Carlsbad,NM,62314
Hutchinson,KS,61898
Starkville,MS,61714
Granbury,TX,61598
Hudson,NY,61570
Crossville,TN,61145
Gillette,WY,61045
Sturgis,MI,60939
Rutland,VT,60572
Fergus Falls,MN,60081
Salina,KS,60038
Sayre,PA,59967
Barre,VT,59807
Marietta,OH,59771
Fernley,NV,59235
Fremont,OH,58896
Columbus,MS,58879
Carson City,NV,58639
Norwalk,OH,58565
Oneonta,NY,58524
Batavia,NY,58388
Ardmore,OK,58149
Palestine,TX,57922
Eagle Pass,TX,57887
Fort Madison,IA,57809
Calhoun,GA,57544
Charleston,IL,57313
Cedar City,UT,57289
Cullowhee,NC,57226
Ontario,OR,56957
Kearney,NE,56772
Gaffney,SC,56216
Fairmont,WV,56205
Picayune,MS,56145
Branson,MO,56066
Waycross,GA,55967
Jasper,IN,55887
Oxford,MS,55813
Edwards,CO,55731
Sterling,IL,55691
Durango,CO,55638
Sonora,CA,55620
Elko,NV,55557
Batesville,AR,55209
Kinston,NC,55122
Tiffin,OH,55069
Danville,KY,54889
Glasgow,KY,54771
St. Marys,GA,54768
Point Pleasant,WV,54673
Boone,NC,54086
Warrensburg,MO,54013
Fort Leonard Wood,MO,53955
Elizabeth City,NC,53573
Enterprise,AL,53465
Gloversville,NY,53324
Athens,TN,53276
Payson,AZ,53272
Poplar Bluff,MO,52809
Corsicana,TX,52624
Kerrville,TX,52598
Scottsboro,AL,52579
Milledgeville,GA,52534
Bartlesville,OK,52455
Ashland,OH,52447
Platteville,WI,51938
Greenville,OH,51881
Rochelle,IL,51788
Alexander City,AL,51698
Pahrump,NV,51591
Douglas,GA,51378
Mason City,IA,50570
Oil City,PA,50454
Jacksonville,TX,50412
Newport,OR,50395
Shelbyville,TN,50237
Paris,TX,50088
Galesburg,IL,49967
Winona,MN,49671
Amsterdam,NY,49532
Gardnerville Ranchos,NV,49488
Morgan City,LA,49406
Ozark,AL,49326
Cañon City,CO,48939
New Castle,IN,48914
Fort Polk LA,48750
Norfolk,NE,48744
Cadillac,MI,48725
Alice,TX,48722
Clovis,NM,48430
Ruston,LA,48396
Sidney,OH,48230
Natchez,MS,48225
Blackfoot,ID,47992
Pullman,WA,47973
Nogales,AZ,47669
Del Rio,TX,47586
Red Wing,MN,47582
Malone,NY,47555
Montrose,CO,47553
Kendallville,IN,47457
Sandpoint,ID,47110
Tahlequah,OK,47078
Mount Sterling,KY,46977
Cortland,NY,46809
Bardstown,KY,46738
Clinton,IA,46460
Seymour,IN,46428
Wapakoneta,OH,46422
Burley,ID,46268
Bemidji,MN,46228
Bellefontaine,OH,46150
Lewistown,PA,46143
Plymouth,IN,46095
Durant,OK,46067
Cornelia,GA,46031
Moultrie,GA,45898
Thomasville,GA,45798
Hillsdale,MI,45746
Paragould,AR,45736
Bogalusa,LA,45463
Menomonie,WI,45440
Madisonville,KY,45423
Burlington,IA,45297
Shawano,WI,45136
Grand Rapids,MN,45014
Bedford,IN,45011
Greenville,MS,44922
Coldwater,MI,44862
Vicksburg,MS,44722
Washington,NC,44652
Rolla,MO,44638
Freeport,IL,44630
Harrison,AR,44598
Marion,NC,44578
Ellensburg,WA,44337
Lawrenceburg,TN,44159
Huntingdon,PA,44092
McAlester,OK,43773
Willmar,MN,43732
Mount Pleasant,TX,43711
Ponca City,OK,43700
Auburn,IN,43265
Muscatine,IA,43235
Sedalia,MO,42980
Rockingham,NC,42946
Cedartown,GA,42853
Duncan,OK,42848
Lewisburg,PA,42681
Henderson,NC,42578
Stephenville,TX,42545
Celina,OH,42528
Garden City,KS,42453
Aberdeen,SD,42287
Rock Springs,WY,42272
Bucyrus,OH,42025
Wilmington,OH,42018
Alma,MI,41761
Gainesville,TX,41668
Mountain Home,AR,41627
El Campo,TX,41570
Tifton,GA,41344
Astoria,OR,41072
McMinnville,TN,40953
Williston,ND,40950
Blytheville,AR,40685
Bradford,PA,40432
Española,NM,40363
McComb,MS,40324
Marshalltown,IA,40105
Austin,MN,40029
Big Stone Gap,VA,39817
West Plains,MO,39750
Selinsgrove,PA,39736
Big Rapids,MI,39714
Okeechobee,FL,39644
Clewiston,FL,39619
Moscow,ID,39517
Houghton,MI,39407
Riverton,WY,39234
El Dorado,AR,39054
Alexandria,MN,39006
Pittsburg,KS,38972
Hannibal,MO,38880
Urbana,OH,38714
Warren,PA,38587
Safford,AZ,38533
Selma,AL,38462
Cambridge,OH,38438
Greenwood,MS,38337
Defiance,OH,38286
Brownwood,TX,38095
Ada,OK,38065
Sikeston,MO,38059
Crawfordsville,IN,37936
Scottsbluff,NE,37893
Logansport,IN,37870
Jacksonville,IL,37864
Centralia,IL,37729
Newberry,SC,37719
Easton,MD,37526
Natchitoches,LA,37515
Lock Haven,PA,37450
Owatonna,MN,37406
Bennington,VT,37347
Fremont,NE,37167
Campbellsville,KY,37130
Mount Vernon,IL,37113
Murray,KY,37103
Laramie,WY,37066
Fort Dodge,IA,36999
Minden,LA,36967
Kill Devil Hills,NC,36915
Escanaba,MI,36903
Dyersburg,TN,36801
Sulphur Springs,TX,36787
Sault Ste. Marie,MI,36785
Hutchinson,MN,36771
Atmore,AL,36757
Huntington,IN,36662
Mayfield,KY,36649
Coshocton,OH,36612
